,sobel_above,sobel_below,percentage_colored,label
0,-0.875,1.0,0.18,line
1,-0.875,1.0,0.18,line
2,-0.875,1.0,0.17888888888888888,line
3,-0.875,1.0,0.17888888888888888,line
4,-0.875,1.0,0.18,line
5,-0.875,1.0,0.1811111111111111,line
6,-0.875,1.0,0.18222222222222223,line
7,-0.875,1.0,0.18222222222222223,line
8,-0.875,1.0,0.18222222222222223,line
9,-0.875,1.0,0.18222222222222223,line
10,-0.875,1.0,0.1811111111111111,line
11,-0.875,1.0,0.1811111111111111,line
12,-0.875,1.0,0.18,line
13,-0.875,1.0,0.17777777777777778,line
14,-0.875,1.0,0.17777777777777778,line
15,-0.875,1.0,0.1811111111111111,line
16,-0.875,1.0,0.18222222222222223,line
17,-0.875,1.0,0.18333333333333332,line
18,-0.875,1.0,0.18666666666666668,line
19,-0.875,1.0,0.18888888888888888,line
20,-0.875,1.0,0.19111111111111112,line
21,-0.875,1.0,0.1922222222222222,line
22,-0.875,1.0,0.19444444444444445,line
23,-0.875,1.0,0.19555555555555557,line
24,-0.875,1.0,0.19777777777777777,line
25,-0.875,1.0,0.19777777777777777,line
26,-0.875,1.0,0.1988888888888889,line
27,-0.875,1.0,0.19666666666666666,line
28,-0.875,1.0,0.19666666666666666,line
29,-0.875,1.0,0.2,line
30,-0.875,1.0,0.20222222222222222,line
31,-0.875,1.0,0.20222222222222222,line
32,-0.875,1.0,0.20444444444444446,line
33,-0.875,1.0,0.20666666666666667,line
34,-0.875,1.0,0.20555555555555555,line
35,-0.875,1.0,0.20222222222222222,line
36,-0.875,1.0,0.1988888888888889,line
37,-0.875,1.0,0.19777777777777777,line
38,-0.875,1.0,0.2,line
39,-0.875,1.0,0.2011111111111111,line
40,-0.875,1.0,0.2011111111111111,line
41,-0.875,1.0,0.2011111111111111,line
42,-0.875,1.0,0.19777777777777777,line
43,-0.875,1.0,0.19666666666666666,line
44,-0.875,1.0,0.19666666666666666,line
45,-0.875,1.0,0.19666666666666666,line
46,-0.875,1.0,0.19555555555555557,line
47,-0.875,1.0,0.19555555555555557,line
48,-0.875,1.0,0.19333333333333333,line
49,-0.875,1.0,0.19555555555555557,line
50,-0.875,1.0,0.19333333333333333,line
51,-0.875,1.0,0.19333333333333333,line
52,-0.875,1.0,0.19444444444444445,line
53,-0.875,1.0,0.19444444444444445,line
54,-0.875,1.0,0.1922222222222222,line
55,-0.875,1.0,0.1922222222222222,line
56,-0.875,1.0,0.19,line
57,-0.875,1.0,0.18888888888888888,line
58,-0.875,1.0,0.18888888888888888,line
59,-0.875,1.0,0.18666666666666668,line
60,-0.875,1.0,0.18666666666666668,line
61,-0.875,1.0,0.18666666666666668,line
62,-0.875,1.0,0.18666666666666668,line
63,-0.875,1.0,0.18666666666666668,line
64,-0.875,1.0,0.18666666666666668,line
65,-0.875,1.0,0.18888888888888888,line
66,-0.875,1.0,0.19111111111111112,line
67,-0.875,1.0,0.19,line
68,-0.875,1.0,0.18666666666666668,line
69,-0.875,1.0,0.18555555555555556,line
70,-0.875,1.0,0.18666666666666668,line
71,-0.875,1.0,0.18888888888888888,line
72,-0.875,1.0,0.19,line
73,-0.875,1.0,0.18666666666666668,line
74,-0.875,1.0,0.18222222222222223,line
75,-0.875,1.0,0.17777777777777778,line
76,-0.875,1.0,0.17666666666666667,line
77,-0.875,1.0,0.17777777777777778,line
78,-0.875,1.0,0.17888888888888888,line
79,-0.875,1.0,0.17888888888888888,line
80,-0.875,1.0,0.18444444444444444,line
81,-0.875,1.0,0.18555555555555556,line
82,-0.875,1.0,0.18666666666666668,line
83,-0.875,1.0,0.19555555555555557,line
84,-0.875,1.0,0.19555555555555557,line
85,-0.875,1.0,0.19444444444444445,line
86,-0.875,1.0,0.19333333333333333,line
87,-0.875,1.0,0.19,line
88,-0.875,1.0,0.18555555555555556,line
89,-0.875,1.0,0.1811111111111111,line
90,-0.875,1.0,0.17666666666666667,line
91,-0.875,1.0,0.17666666666666667,line
92,-0.875,1.0,0.17666666666666667,line
93,-0.875,1.0,0.17555555555555555,line
94,-0.875,1.0,0.17444444444444446,line
95,-0.875,1.0,0.1711111111111111,line
96,-0.875,1.0,0.17222222222222222,line
97,-0.875,1.0,0.17555555555555555,line
98,-0.875,1.0,0.17777777777777778,line
99,-0.875,1.0,0.17555555555555555,line
100,-0.875,1.0,0.17333333333333334,line
101,-0.875,1.0,0.1711111111111111,line
102,-0.875,1.0,0.16666666666666666,line
103,-0.875,1.0,0.16444444444444445,line
104,-0.875,1.0,0.16333333333333333,line
105,-0.875,1.0,0.16333333333333333,line
106,-0.875,1.0,0.16333333333333333,line
107,-0.875,1.0,0.16444444444444445,line
108,-0.875,1.0,0.16444444444444445,line
109,-0.875,1.0,0.16555555555555557,line
110,-0.875,1.0,0.17,line
111,-0.875,1.0,0.17555555555555555,line
112,-0.875,1.0,0.18,line
113,-0.875,1.0,0.18333333333333332,line
114,-0.875,1.0,0.18555555555555556,line
115,-0.875,1.0,0.18666666666666668,line
116,-0.875,1.0,0.18555555555555556,line
117,-0.875,1.0,0.18666666666666668,line
118,-0.875,1.0,0.18555555555555556,line
119,-0.875,1.0,0.18666666666666668,line
120,-0.875,1.0,0.18666666666666668,line
121,-0.875,1.0,0.18555555555555556,line
122,-0.875,1.0,0.18555555555555556,line
123,-0.875,1.0,0.18666666666666668,line
124,-0.875,1.0,0.18777777777777777,line
125,-0.875,1.0,0.18777777777777777,line
126,-0.875,1.0,0.18666666666666668,line
127,-0.875,1.0,0.18666666666666668,line
128,-0.875,1.0,0.18777777777777777,line
129,-0.875,1.0,0.18888888888888888,line
130,-0.875,1.0,0.18888888888888888,line
131,-0.875,1.0,0.18555555555555556,line
132,-0.875,1.0,0.18666666666666668,line
133,-0.875,1.0,0.18888888888888888,line
134,-0.875,1.0,0.18888888888888888,line
135,-0.875,1.0,0.18777777777777777,line
136,-0.875,1.0,0.18666666666666668,line
137,-0.875,1.0,0.18777777777777777,line
138,-0.875,1.0,0.18888888888888888,line
139,-0.875,1.0,0.18777777777777777,line
140,-0.875,1.0,0.18444444444444444,line
141,-0.875,1.0,0.18222222222222223,line
142,-0.875,1.0,0.18,line
143,-0.875,1.0,0.17888888888888888,line
144,-0.875,1.0,0.17888888888888888,line
145,-0.875,1.0,0.17777777777777778,line
146,-0.875,1.0,0.18,line
147,-0.875,1.0,0.18,line
148,-0.875,1.0,0.18222222222222223,line
