val_loss,"[0.3261128703051529, 0.20428917528026633, 0.1893952062605725, 0.18948893227821423, 0.40709843122038164]"
loss,"[0.4223068186692127, 0.3338059340507723, 0.20942971805266222, 0.1859241442044808, 0.11880653993487798]"
precision_19,"[0.872093, 0.90384614, 0.9108911, 0.94949496, 0.95]"
recall_19,"[0.8333333, 0.94, 0.96842104, 0.96907216, 0.96938777]"
val_precision_19,"[0.875, 0.93333334, 0.93333334, 0.93333334, 0.875]"
accuracy,"[0.8563536, 0.9116022, 0.93370163, 0.9558011, 0.9558011]"
val_accuracy,"[0.9130435, 0.95652175, 0.95652175, 0.95652175, 0.9130435]"
val_recall_19,"[1.0, 1.0, 1.0, 1.0, 1.0]"
